model,init_month,year,Tmean_Aug_1,Tmean_Aug_2,Tmean_Aug_3,Tmean_Aug_4,Tmean_Oct_1,Tmean_Oct_2,Tmean_Oct_3,Tmean_Oct_4,Tmean_Sep_1,Tmean_Sep_2,Tmean_Sep_3,Tmean_Sep_4,Rain_Aug_1,Rain_Aug_2,Rain_Aug_3,Rain_Aug_4,Rain_Oct_1,Rain_Oct_2,Rain_Oct_3,Rain_Oct_4,Rain_Sep_1,Rain_Sep_2,Rain_Sep_3,Rain_Sep_4,yield
CLIMATE,4,2016,15.457854137447404,20.423712228485275,18.75596375964937,16.33518309256662,18.89782608695652,23.585291863015428,22.209360205147266,19.158096921458625,16.118840579710145,21.77565565905797,20.185672001826084,17.23481936956522,149.18260869565216,43.86086956521739,61.45652173913044,79.41739130434783,241.78695652173914,153.0695652173913,179.66521739130437,176.18695652173915,183.30434782608697,123.90434782608696,140.91304347826087,158.7130434782609,3149.0
CLIMATE,5,1993,15.432538569424965,20.469637200434782,18.769638373955118,16.323401886395512,18.804347826086957,23.580028714347826,22.179205927447406,19.170439137447406,16.12253623188406,21.798226043115942,20.181106784434782,17.28923965942029,156.79130434782607,48.82608695652174,70.04347826086956,85.08695652173913,246.7521739130435,154.70869565217393,186.88260869565218,179.48695652173913,180.3695652173913,116.00434782608696,134.51739130434783,147.84782608695653,2687.363636363636
CLIMATE,5,1994,15.411921458625526,20.43002358893408,18.713537392187938,16.277118576437587,18.82819074333801,23.56144894576438,22.16314702141655,19.14638584151473,16.013768115942028,21.676670151811596,20.058570552550727,17.169312123188405,155.45217391304348,49.20869565217391,70.09565217391305,86.07826086956521,240.03478260869565,154.38695652173914,183.2608695652174,180.3913043478261,179.27391304347827,124.8608695652174,142.17391304347825,160.44782608695652,2737.7643253234755
CLIMATE,5,1995,15.37538569424965,20.33633494938289,18.656033885876578,16.153766542777,18.927208976157083,23.662442297798037,22.297789377657786,19.257886542776998,16.063333333333333,21.773481746014493,20.16291837863768,17.246268644927536,154.14347826086959,48.34782608695652,69.71739130434783,85.17391304347827,244.82173913043476,152.80434782608697,183.41304347826087,179.7304347826087,180.41739130434783,117.10000000000001,136.58695652173913,152.52173913043478,2641.626503047273
CLIMATE,5,1996,15.383169705469845,20.41698011067321,18.71290625614306,16.285533723702663,18.88821879382889,23.617830432440392,22.271772547363252,19.22226241935484,16.124202898550724,21.800082746014493,20.21262852356522,17.293732413043475,148.15217391304347,48.060869565217395,68.1608695652174,82.9608695652174,246.59565217391304,153.33478260869563,182.36521739130433,178.88260869565218,181.11739130434782,118.4913043478261,136.08260869565217,153.30434782608697,2930.5712898527267
CLIMATE,5,1997,15.398527349228612,20.424273238302945,18.748179748429173,16.24135420056101,18.89228611500701,23.59791458391304,22.22275431454418,19.222683176718093,16.043695652173913,21.706815079347827,20.1161792482029,17.19141357246377,146.25652173913045,47.40869565217392,68.14782608695653,82.81304347826087,229.52608695652177,155.3782608695652,183.19130434782608,176.1217391304348,179.69565217391303,123.26086956521739,132.79565217391303,152.35652173913044,2610.938645418327
CLIMATE,5,1998,15.442847124824684,20.419644907307152,18.742569650252452,16.25313540673212,18.85280504908836,23.654073482931278,22.234675773169705,19.240915995792424,16.126159420289856,21.803026760507247,20.18632417573913,17.255399079710145,146.2608695652174,44.05217391304348,63.165217391304346,77.20434782608696,248.28695652173914,154.38695652173914,185.35652173913041,176.05217391304348,177.42608695652174,111.4913043478261,126.47826086956522,146.8608695652174,2531.6530114797924
CLIMATE,5,1999,15.443828892005609,20.43611403072931,18.731349453899018,16.291494453015428,18.949929873772792,23.614366596535763,22.219107750729314,19.2742960799439,16.039782608695653,21.72406210833333,20.096034320666664,17.217138210144928,156.6086956521739,49.20869565217391,70.13913043478261,86.32173913043479,245.75652173913042,157.8913043478261,192.14347826086959,183.94347826086957,179.80434782608697,123.21739130434783,139.9608695652174,156.0782608695652,2881.8055512362
CLIMATE,5,2000,15.452805049088358,20.45167724952314,18.738291950392707,16.304187300140253,18.822580645161292,23.535196799901822,22.14806988256662,19.12331431276297,16.089782608695653,21.788553948913044,20.166251711971015,17.275036760869565,153.8086956521739,45.15217391304348,61.05652173913043,81.65217391304348,238.70434782608694,157.60434782608695,187.84347826086955,174.9217391304348,178.95652173913044,118.8,132.12173913043478,150.3521739130435,2340.684178092744
CLIMATE,5,2001,15.331767180925667,20.387690392706872,18.683320056100982,16.21659964235624,18.840252454417953,23.576284102384292,22.198551507713884,19.20101417251052,16.07427536231884,21.780920891304348,20.164105652173912,17.235254152173912,151.1,45.821739130434786,67.1608695652174,83.08695652173913,241.47826086956522,159.74347826086955,191.38260869565218,177.00434782608698,175.8695652173913,124.76521739130435,141.40869565217392,156.56521739130434,2737.7903349135954
CLIMATE,5,2002,15.404067321178122,20.34250605737728,18.684855765259467,16.22495703366059,18.833169705469846,23.461308693309956,22.124016586633942,19.160743702664796,16.14072463768116,21.762394789492756,20.20900533515942,17.294139115942027,147.2869565217391,45.50434782608695,65.61739130434783,82.13478260869564,237.2695652173913,160.0695652173913,187.26521739130436,181.34782608695653,175.27826086956523,122.7304347826087,136.51304347826087,153.5304347826087,2194.415589353612
CLIMATE,5,2003,15.515497896213185,20.526096520210377,18.880718317854136,16.347189242636745,18.847615708274894,23.601841652636747,22.222403683408135,19.20997525946704,16.046666666666667,21.768264354710144,20.16922272646377,17.220301739130434,154.95217391304348,47.130434782608695,68.44347826086957,85.8,243.1478260869565,157.9217391304348,188.39565217391305,179.58695652173913,183.52173913043478,123.5391304347826,138.3391304347826,155.2826086956522,3097.055387179876
CLIMATE,5,2004,15.438990182328189,20.428481793702666,18.756244264558205,16.273236507713886,18.889481065918652,23.63515161056101,22.26034197232819,19.238876213183733,15.992971014492753,21.636670151811593,20.050599538057973,17.168667347826087,155.1478260869565,49.199999999999996,70.01304347826087,85.72608695652174,245.05652173913043,150.43478260869566,180.29999999999998,178.15652173913045,176.11739130434782,124.9391304347826,140.18260869565216,157.6782608695652,2692.237029193768
CLIMATE,5,2005,15.397755960729311,20.40071082596073,18.730998822762974,16.211301711079944,18.857012622720898,23.556820614768586,22.19743874652174,19.201995371669003,16.202826086956524,21.8180469634058,20.2661792482029,17.317295514492752,151.56521739130434,47.58695652173913,68.59565217391305,82.10000000000001,236.72608695652173,150.08695652173913,177.5608695652174,176.74347826086958,179.66521739130437,120.85217391304347,136.75217391304346,149.84347826086957,2531.334442595674
CLIMATE,5,2006,15.454417952314165,20.389420503380084,18.73471551280505,16.265423204768584,18.782468443197757,23.54272524309958,22.15346960206171,19.16802094670407,16.09717391304348,21.81174261557971,20.21290881342029,17.268726673913044,151.70434782608694,48.4695652173913,68.4,83.86521739130436,249.3304347826087,158.11739130434782,189.4695652173913,184.0608695652174,181.4,119.96521739130434,135.51304347826087,150.88260869565218,2066.5271253220185
CLIMATE,5,2007,15.48576437587658,20.40765332245442,18.73548690130435,16.312421626928472,18.836044880785416,23.511939829354837,22.15753692323983,19.19160711781206,15.969637681159421,21.63435131123188,20.05972997284058,17.160683144927535,151.85652173913041,48.65217391304348,69.49565217391304,85.46521739130435,240.67826086956524,157.27826086956523,190.9217391304348,184.76521739130436,174.62608695652173,126.14782608695653,142.10434782608695,159.2173913043478,2669.7547528517107
CLIMATE,5,2008,15.418232819074333,20.41571783858345,18.744943843800844,16.244933653576435,18.887026647966337,23.55240266245442,22.259616551570826,19.23745151472651,16.15717391304348,21.797974499637682,20.244981711971015,17.299501239130436,150.38695652173914,41.07826086956521,57.73913043478261,78.4913043478261,238.16521739130437,157.16086956521738,189.71304347826086,175.79130434782607,182.06521739130434,122.46521739130434,139.91739130434783,158.91304347826087,2952.8802569200184
CLIMATE,5,2009,15.410098176718092,20.466138595946703,18.75862855628331,16.25353932678822,18.86500701262272,23.606049226269285,22.203750106970546,19.22162512622721,16.105507246376813,21.713409282246378,20.12023721921739,17.246049594202898,145.76521739130433,45.2695652173913,66.30869565217391,82.12173913043479,247.63478260869567,145.47826086956522,179.28695652173914,179.91304347826087,165.01304347826087,115.8913043478261,134.51739130434783,149.51739130434783,2422.380064704976
CLIMATE,5,2010,15.473632538569424,20.446713631009818,18.73212084239832,16.30571567321178,18.929943899018234,23.650018370729313,22.28572766657784,19.253148983169705,16.05586956521739,21.723046963405796,20.110889393130435,17.226876195652174,143.7130434782609,47.87826086956522,69.78695652173913,84.91739130434783,247.20869565217393,154.3086956521739,186.1478260869565,179.86521739130433,175.8695652173913,121.16521739130435,139.3173913043478,158.6304347826087,3131.9193749028145
CLIMATE,5,2011,15.473772791023842,20.43079497743338,18.77994692935484,16.31090884291725,18.841584852734922,23.59118246610098,22.217494847503506,19.19908110098177,16.07159420289855,21.72601797789855,20.173860407623188,17.276669688405796,146.3913043478261,47.16956521739131,62.87826086956522,69.3913043478261,244.9913043478261,145.68695652173915,183.76521739130436,178.27391304347827,184.2478260869565,125.95652173913044,141.2130434782609,158.5086956521739,2914.5221732976884
CLIMATE,5,2012,15.341374474053296,20.36438544026648,18.60596375964937,16.2078812342216,18.822580645161292,23.48809691210379,22.151295689018234,19.211896584852735,16.01695652173913,21.679858557608696,20.010164755449274,17.238843804347827,156.2304347826087,49.15652173913043,69.9608695652174,86.20869565217392,242.44782608695652,157.76521739130433,188.9913043478261,180.21304347826086,180.11739130434782,123.08695652173913,141.7,158.11739130434785,2490.2573705179284
CLIMATE,5,2013,15.52664796633941,20.461089507587655,18.809610323464234,16.334905680224402,18.877840112201962,23.602683167363253,22.245685590841514,19.262245897615706,16.081739130434784,21.73688754311594,20.15132417573913,17.261490891304348,141.61304347826086,49.20869565217391,69.68695652173913,85.11304347826086,245.3521739130435,152.52608695652174,186.77391304347827,182.36521739130433,178.30434782608697,121.83478260869565,138.19565217391303,153.3608695652174,2901.783136429843
CLIMATE,5,2014,15.411781206171106,20.386124570701263,18.704631361332396,16.261620680224404,18.78338008415147,23.508153013085554,22.123595829270688,19.06798471949509,15.998985507246378,21.71319189094203,20.09654156704348,17.193587485507248,151.9695652173913,47.86086956521739,68.83478260869565,82.32173913043479,245.7695652173913,160.11739130434782,189.6130434782609,185.81304347826085,174.94782608695652,118.3913043478261,132.6391304347826,153.95652173913044,2270.069098995223
CLIMATE,5,2015,15.28345021037868,20.364104935357645,18.610381711963534,16.220176079943897,18.852875175315567,23.526526084614307,22.12654113081346,19.158798183730713,16.02413043478261,21.67406145615942,20.03168649457971,17.08206574637681,155.0608695652174,47.68695652173913,68.29565217391304,84.94782608695652,241.97826086956522,149.83913043478262,184.29130434782607,179.68260869565216,177.59130434782608,114.5391304347826,131.45652173913044,155.51304347826087,2203.187279448832
CLIMATE,5,2016,15.457854137447404,20.423712228485275,18.75596375964937,16.33518309256662,18.89782608695652,23.585291863015428,22.209360205147266,19.158096921458625,16.118840579710145,21.77565565905797,20.185672001826084,17.23481936956522,149.18260869565216,43.86086956521739,61.45652173913044,79.41739130434783,241.78695652173914,153.0695652173913,179.66521739130437,176.18695652173915,183.30434782608697,123.90434782608696,140.91304347826087,158.7130434782609,3149.0
CLIMATE,6,1993,15.432538569424965,20.469637200434782,18.769638373955118,16.323401886395512,18.804347826086957,23.580028714347826,22.179205927447406,19.170439137447406,16.12253623188406,21.798226043115942,20.181106784434782,17.28923965942029,156.79130434782607,48.82608695652174,70.04347826086956,85.08695652173913,246.7521739130435,154.70869565217393,186.88260869565218,179.48695652173913,180.3695652173913,116.00434782608696,134.51739130434783,147.84782608695653,2687.363636363636
CLIMATE,6,1994,15.411921458625526,20.43002358893408,18.713537392187938,16.277118576437587,18.82819074333801,23.56144894576438,22.16314702141655,19.14638584151473,16.013768115942028,21.676670151811596,20.058570552550727,17.169312123188405,155.45217391304348,49.20869565217391,70.09565217391305,86.07826086956521,240.03478260869565,154.38695652173914,183.2608695652174,180.3913043478261,179.27391304347827,124.8608695652174,142.17391304347825,160.44782608695652,2737.7643253234755
CLIMATE,6,1995,15.37538569424965,20.33633494938289,18.656033885876578,16.153766542777,18.927208976157083,23.662442297798037,22.297789377657786,19.257886542776998,16.063333333333333,21.773481746014493,20.16291837863768,17.246268644927536,154.14347826086959,48.34782608695652,69.71739130434783,85.17391304347827,244.82173913043476,152.80434782608697,183.41304347826087,179.7304347826087,180.41739130434783,117.10000000000001,136.58695652173913,152.52173913043478,2641.626503047273
CLIMATE,6,1996,15.383169705469845,20.41698011067321,18.71290625614306,16.285533723702663,18.88821879382889,23.617830432440392,22.271772547363252,19.22226241935484,16.124202898550724,21.800082746014493,20.21262852356522,17.293732413043475,148.15217391304347,48.060869565217395,68.1608695652174,82.9608695652174,246.59565217391304,153.33478260869563,182.36521739130433,178.88260869565218,181.11739130434782,118.4913043478261,136.08260869565217,153.30434782608697,2930.5712898527267
CLIMATE,6,1997,15.398527349228612,20.424273238302945,18.748179748429173,16.24135420056101,18.89228611500701,23.59791458391304,22.22275431454418,19.222683176718093,16.043695652173913,21.706815079347827,20.1161792482029,17.19141357246377,146.25652173913045,47.40869565217392,68.14782608695653,82.81304347826087,229.52608695652177,155.3782608695652,183.19130434782608,176.1217391304348,179.69565217391303,123.26086956521739,132.79565217391303,152.35652173913044,2610.938645418327
CLIMATE,6,1998,15.442847124824684,20.419644907307152,18.742569650252452,16.25313540673212,18.85280504908836,23.654073482931278,22.234675773169705,19.240915995792424,16.126159420289856,21.803026760507247,20.18632417573913,17.255399079710145,146.2608695652174,44.05217391304348,63.165217391304346,77.20434782608696,248.28695652173914,154.38695652173914,185.35652173913041,176.05217391304348,177.42608695652174,111.4913043478261,126.47826086956522,146.8608695652174,2531.6530114797924
CLIMATE,6,1999,15.443828892005609,20.43611403072931,18.731349453899018,16.291494453015428,18.949929873772792,23.614366596535763,22.219107750729314,19.2742960799439,16.039782608695653,21.72406210833333,20.096034320666664,17.217138210144928,156.6086956521739,49.20869565217391,70.13913043478261,86.32173913043479,245.75652173913042,157.8913043478261,192.14347826086959,183.94347826086957,179.80434782608697,123.21739130434783,139.9608695652174,156.0782608695652,2881.8055512362
CLIMATE,6,2000,15.452805049088358,20.45167724952314,18.738291950392707,16.304187300140253,18.822580645161292,23.535196799901822,22.14806988256662,19.12331431276297,16.089782608695653,21.788553948913044,20.166251711971015,17.275036760869565,153.8086956521739,45.15217391304348,61.05652173913043,81.65217391304348,238.70434782608694,157.60434782608695,187.84347826086955,174.9217391304348,178.95652173913044,118.8,132.12173913043478,150.3521739130435,2340.684178092744
CLIMATE,6,2001,15.331767180925667,20.387690392706872,18.683320056100982,16.21659964235624,18.840252454417953,23.576284102384292,22.198551507713884,19.20101417251052,16.07427536231884,21.780920891304348,20.164105652173912,17.235254152173912,151.1,45.821739130434786,67.1608695652174,83.08695652173913,241.47826086956522,159.74347826086955,191.38260869565218,177.00434782608698,175.8695652173913,124.76521739130435,141.40869565217392,156.56521739130434,2737.7903349135954
CLIMATE,6,2002,15.404067321178122,20.34250605737728,18.684855765259467,16.22495703366059,18.833169705469846,23.461308693309956,22.124016586633942,19.160743702664796,16.14072463768116,21.762394789492756,20.20900533515942,17.294139115942027,147.2869565217391,45.50434782608695,65.61739130434783,82.13478260869564,237.2695652173913,160.0695652173913,187.26521739130436,181.34782608695653,175.27826086956523,122.7304347826087,136.51304347826087,153.5304347826087,2194.415589353612
CLIMATE,6,2003,15.515497896213185,20.526096520210377,18.880718317854136,16.347189242636745,18.847615708274894,23.601841652636747,22.222403683408135,19.20997525946704,16.046666666666667,21.768264354710144,20.16922272646377,17.220301739130434,154.95217391304348,47.130434782608695,68.44347826086957,85.8,243.1478260869565,157.9217391304348,188.39565217391305,179.58695652173913,183.52173913043478,123.5391304347826,138.3391304347826,155.2826086956522,3097.055387179876
CLIMATE,6,2004,15.438990182328189,20.428481793702666,18.756244264558205,16.273236507713886,18.889481065918652,23.63515161056101,22.26034197232819,19.238876213183733,15.992971014492753,21.636670151811593,20.050599538057973,17.168667347826087,155.1478260869565,49.199999999999996,70.01304347826087,85.72608695652174,245.05652173913043,150.43478260869566,180.29999999999998,178.15652173913045,176.11739130434782,124.9391304347826,140.18260869565216,157.6782608695652,2692.237029193768
CLIMATE,6,2005,15.397755960729311,20.40071082596073,18.730998822762974,16.211301711079944,18.857012622720898,23.556820614768586,22.19743874652174,19.201995371669003,16.202826086956524,21.8180469634058,20.2661792482029,17.317295514492752,151.56521739130434,47.58695652173913,68.59565217391305,82.10000000000001,236.72608695652173,150.08695652173913,177.5608695652174,176.74347826086958,179.66521739130437,120.85217391304347,136.75217391304346,149.84347826086957,2531.334442595674
CLIMATE,6,2006,15.454417952314165,20.389420503380084,18.73471551280505,16.265423204768584,18.782468443197757,23.54272524309958,22.15346960206171,19.16802094670407,16.09717391304348,21.81174261557971,20.21290881342029,17.268726673913044,151.70434782608694,48.4695652173913,68.4,83.86521739130436,249.3304347826087,158.11739130434782,189.4695652173913,184.0608695652174,181.4,119.96521739130434,135.51304347826087,150.88260869565218,2066.5271253220185
CLIMATE,6,2007,15.48576437587658,20.40765332245442,18.73548690130435,16.312421626928472,18.836044880785416,23.511939829354837,22.15753692323983,19.19160711781206,15.969637681159421,21.63435131123188,20.05972997284058,17.160683144927535,151.85652173913041,48.65217391304348,69.49565217391304,85.46521739130435,240.67826086956524,157.27826086956523,190.9217391304348,184.76521739130436,174.62608695652173,126.14782608695653,142.10434782608695,159.2173913043478,2669.7547528517107
CLIMATE,6,2008,15.418232819074333,20.41571783858345,18.744943843800844,16.244933653576435,18.887026647966337,23.55240266245442,22.259616551570826,19.23745151472651,16.15717391304348,21.797974499637682,20.244981711971015,17.299501239130436,150.38695652173914,41.07826086956521,57.73913043478261,78.4913043478261,238.16521739130437,157.16086956521738,189.71304347826086,175.79130434782607,182.06521739130434,122.46521739130434,139.91739130434783,158.91304347826087,2952.8802569200184
CLIMATE,6,2009,15.410098176718092,20.466138595946703,18.75862855628331,16.25353932678822,18.86500701262272,23.606049226269285,22.203750106970546,19.22162512622721,16.105507246376813,21.713409282246378,20.12023721921739,17.246049594202898,145.76521739130433,45.2695652173913,66.30869565217391,82.12173913043479,247.63478260869567,145.47826086956522,179.28695652173914,179.91304347826087,165.01304347826087,115.8913043478261,134.51739130434783,149.51739130434783,2422.380064704976
CLIMATE,6,2010,15.473632538569424,20.446713631009818,18.73212084239832,16.30571567321178,18.929943899018234,23.650018370729313,22.28572766657784,19.253148983169705,16.05586956521739,21.723046963405796,20.110889393130435,17.226876195652174,143.7130434782609,47.87826086956522,69.78695652173913,84.91739130434783,247.20869565217393,154.3086956521739,186.1478260869565,179.86521739130433,175.8695652173913,121.16521739130435,139.3173913043478,158.6304347826087,3131.9193749028145
CLIMATE,6,2011,15.473772791023842,20.43079497743338,18.77994692935484,16.31090884291725,18.841584852734922,23.59118246610098,22.217494847503506,19.19908110098177,16.07159420289855,21.72601797789855,20.173860407623188,17.276669688405796,146.3913043478261,47.16956521739131,62.87826086956522,69.3913043478261,244.9913043478261,145.68695652173915,183.76521739130436,178.27391304347827,184.2478260869565,125.95652173913044,141.2130434782609,158.5086956521739,2914.5221732976884
CLIMATE,6,2012,15.341374474053296,20.36438544026648,18.60596375964937,16.2078812342216,18.822580645161292,23.48809691210379,22.151295689018234,19.211896584852735,16.01695652173913,21.679858557608696,20.010164755449274,17.238843804347827,156.2304347826087,49.15652173913043,69.9608695652174,86.20869565217392,242.44782608695652,157.76521739130433,188.9913043478261,180.21304347826086,180.11739130434782,123.08695652173913,141.7,158.11739130434785,2490.2573705179284
CLIMATE,6,2013,15.52664796633941,20.461089507587655,18.809610323464234,16.334905680224402,18.877840112201962,23.602683167363253,22.245685590841514,19.262245897615706,16.081739130434784,21.73688754311594,20.15132417573913,17.261490891304348,141.61304347826086,49.20869565217391,69.68695652173913,85.11304347826086,245.3521739130435,152.52608695652174,186.77391304347827,182.36521739130433,178.30434782608697,121.83478260869565,138.19565217391303,153.3608695652174,2901.783136429843
CLIMATE,6,2014,15.411781206171106,20.386124570701263,18.704631361332396,16.261620680224404,18.78338008415147,23.508153013085554,22.123595829270688,19.06798471949509,15.998985507246378,21.71319189094203,20.09654156704348,17.193587485507248,151.9695652173913,47.86086956521739,68.83478260869565,82.32173913043479,245.7695652173913,160.11739130434782,189.6130434782609,185.81304347826085,174.94782608695652,118.3913043478261,132.6391304347826,153.95652173913044,2270.069098995223
CLIMATE,6,2015,15.28345021037868,20.364104935357645,18.610381711963534,16.220176079943897,18.852875175315567,23.526526084614307,22.12654113081346,19.158798183730713,16.02413043478261,21.67406145615942,20.03168649457971,17.08206574637681,155.0608695652174,47.68695652173913,68.29565217391304,84.94782608695652,241.97826086956522,149.83913043478262,184.29130434782607,179.68260869565216,177.59130434782608,114.5391304347826,131.45652173913044,155.51304347826087,2203.187279448832
CLIMATE,6,2016,15.457854137447404,20.423712228485275,18.75596375964937,16.33518309256662,18.89782608695652,23.585291863015428,22.209360205147266,19.158096921458625,16.118840579710145,21.77565565905797,20.185672001826084,17.23481936956522,149.18260869565216,43.86086956521739,61.45652173913044,79.41739130434783,241.78695652173914,153.0695652173913,179.66521739130437,176.18695652173915,183.30434782608697,123.90434782608696,140.91304347826087,158.7130434782609,3149.0
CLIMATE,7,1993,15.432538569424965,20.469637200434782,18.769638373955118,16.323401886395512,18.804347826086957,23.580028714347826,22.179205927447406,19.170439137447406,16.12253623188406,21.798226043115942,20.181106784434782,17.28923965942029,156.79130434782607,48.82608695652174,70.04347826086956,85.08695652173913,246.7521739130435,154.70869565217393,186.88260869565218,179.48695652173913,180.3695652173913,116.00434782608696,134.51739130434783,147.84782608695653,2687.363636363636
CLIMATE,7,1994,15.411921458625526,20.43002358893408,18.713537392187938,16.277118576437587,18.82819074333801,23.56144894576438,22.16314702141655,19.14638584151473,16.013768115942028,21.676670151811596,20.058570552550727,17.169312123188405,155.45217391304348,49.20869565217391,70.09565217391305,86.07826086956521,240.03478260869565,154.38695652173914,183.2608695652174,180.3913043478261,179.27391304347827,124.8608695652174,142.17391304347825,160.44782608695652,2737.7643253234755
CLIMATE,7,1995,15.37538569424965,20.33633494938289,18.656033885876578,16.153766542777,18.927208976157083,23.662442297798037,22.297789377657786,19.257886542776998,16.063333333333333,21.773481746014493,20.16291837863768,17.246268644927536,154.14347826086959,48.34782608695652,69.71739130434783,85.17391304347827,244.82173913043476,152.80434782608697,183.41304347826087,179.7304347826087,180.41739130434783,117.10000000000001,136.58695652173913,152.52173913043478,2641.626503047273
CLIMATE,7,1996,15.383169705469845,20.41698011067321,18.71290625614306,16.285533723702663,18.88821879382889,23.617830432440392,22.271772547363252,19.22226241935484,16.124202898550724,21.800082746014493,20.21262852356522,17.293732413043475,148.15217391304347,48.060869565217395,68.1608695652174,82.9608695652174,246.59565217391304,153.33478260869563,182.36521739130433,178.88260869565218,181.11739130434782,118.4913043478261,136.08260869565217,153.30434782608697,2930.5712898527267
CLIMATE,7,1997,15.398527349228612,20.424273238302945,18.748179748429173,16.24135420056101,18.89228611500701,23.59791458391304,22.22275431454418,19.222683176718093,16.043695652173913,21.706815079347827,20.1161792482029,17.19141357246377,146.25652173913045,47.40869565217392,68.14782608695653,82.81304347826087,229.52608695652177,155.3782608695652,183.19130434782608,176.1217391304348,179.69565217391303,123.26086956521739,132.79565217391303,152.35652173913044,2610.938645418327
CLIMATE,7,1998,15.442847124824684,20.419644907307152,18.742569650252452,16.25313540673212,18.85280504908836,23.654073482931278,22.234675773169705,19.240915995792424,16.126159420289856,21.803026760507247,20.18632417573913,17.255399079710145,146.2608695652174,44.05217391304348,63.165217391304346,77.20434782608696,248.28695652173914,154.38695652173914,185.35652173913041,176.05217391304348,177.42608695652174,111.4913043478261,126.47826086956522,146.8608695652174,2531.6530114797924
CLIMATE,7,1999,15.443828892005609,20.43611403072931,18.731349453899018,16.291494453015428,18.949929873772792,23.614366596535763,22.219107750729314,19.2742960799439,16.039782608695653,21.72406210833333,20.096034320666664,17.217138210144928,156.6086956521739,49.20869565217391,70.13913043478261,86.32173913043479,245.75652173913042,157.8913043478261,192.14347826086959,183.94347826086957,179.80434782608697,123.21739130434783,139.9608695652174,156.0782608695652,2881.8055512362
CLIMATE,7,2000,15.452805049088358,20.45167724952314,18.738291950392707,16.304187300140253,18.822580645161292,23.535196799901822,22.14806988256662,19.12331431276297,16.089782608695653,21.788553948913044,20.166251711971015,17.275036760869565,153.8086956521739,45.15217391304348,61.05652173913043,81.65217391304348,238.70434782608694,157.60434782608695,187.84347826086955,174.9217391304348,178.95652173913044,118.8,132.12173913043478,150.3521739130435,2340.684178092744
CLIMATE,7,2001,15.331767180925667,20.387690392706872,18.683320056100982,16.21659964235624,18.840252454417953,23.576284102384292,22.198551507713884,19.20101417251052,16.07427536231884,21.780920891304348,20.164105652173912,17.235254152173912,151.1,45.821739130434786,67.1608695652174,83.08695652173913,241.47826086956522,159.74347826086955,191.38260869565218,177.00434782608698,175.8695652173913,124.76521739130435,141.40869565217392,156.56521739130434,2737.7903349135954
CLIMATE,7,2002,15.404067321178122,20.34250605737728,18.684855765259467,16.22495703366059,18.833169705469846,23.461308693309956,22.124016586633942,19.160743702664796,16.14072463768116,21.762394789492756,20.20900533515942,17.294139115942027,147.2869565217391,45.50434782608695,65.61739130434783,82.13478260869564,237.2695652173913,160.0695652173913,187.26521739130436,181.34782608695653,175.27826086956523,122.7304347826087,136.51304347826087,153.5304347826087,2194.415589353612
CLIMATE,7,2003,15.515497896213185,20.526096520210377,18.880718317854136,16.347189242636745,18.847615708274894,23.601841652636747,22.222403683408135,19.20997525946704,16.046666666666667,21.768264354710144,20.16922272646377,17.220301739130434,154.95217391304348,47.130434782608695,68.44347826086957,85.8,243.1478260869565,157.9217391304348,188.39565217391305,179.58695652173913,183.52173913043478,123.5391304347826,138.3391304347826,155.2826086956522,3097.055387179876
CLIMATE,7,2004,15.438990182328189,20.428481793702666,18.756244264558205,16.273236507713886,18.889481065918652,23.63515161056101,22.26034197232819,19.238876213183733,15.992971014492753,21.636670151811593,20.050599538057973,17.168667347826087,155.1478260869565,49.199999999999996,70.01304347826087,85.72608695652174,245.05652173913043,150.43478260869566,180.29999999999998,178.15652173913045,176.11739130434782,124.9391304347826,140.18260869565216,157.6782608695652,2692.237029193768
CLIMATE,7,2005,15.397755960729311,20.40071082596073,18.730998822762974,16.211301711079944,18.857012622720898,23.556820614768586,22.19743874652174,19.201995371669003,16.202826086956524,21.8180469634058,20.2661792482029,17.317295514492752,151.56521739130434,47.58695652173913,68.59565217391305,82.10000000000001,236.72608695652173,150.08695652173913,177.5608695652174,176.74347826086958,179.66521739130437,120.85217391304347,136.75217391304346,149.84347826086957,2531.334442595674
CLIMATE,7,2006,15.454417952314165,20.389420503380084,18.73471551280505,16.265423204768584,18.782468443197757,23.54272524309958,22.15346960206171,19.16802094670407,16.09717391304348,21.81174261557971,20.21290881342029,17.268726673913044,151.70434782608694,48.4695652173913,68.4,83.86521739130436,249.3304347826087,158.11739130434782,189.4695652173913,184.0608695652174,181.4,119.96521739130434,135.51304347826087,150.88260869565218,2066.5271253220185
CLIMATE,7,2007,15.48576437587658,20.40765332245442,18.73548690130435,16.312421626928472,18.836044880785416,23.511939829354837,22.15753692323983,19.19160711781206,15.969637681159421,21.63435131123188,20.05972997284058,17.160683144927535,151.85652173913041,48.65217391304348,69.49565217391304,85.46521739130435,240.67826086956524,157.27826086956523,190.9217391304348,184.76521739130436,174.62608695652173,126.14782608695653,142.10434782608695,159.2173913043478,2669.7547528517107
CLIMATE,7,2008,15.418232819074333,20.41571783858345,18.744943843800844,16.244933653576435,18.887026647966337,23.55240266245442,22.259616551570826,19.23745151472651,16.15717391304348,21.797974499637682,20.244981711971015,17.299501239130436,150.38695652173914,41.07826086956521,57.73913043478261,78.4913043478261,238.16521739130437,157.16086956521738,189.71304347826086,175.79130434782607,182.06521739130434,122.46521739130434,139.91739130434783,158.91304347826087,2952.8802569200184
